RV64PMP,"PMP, Physical Memory Protection",1.12
xlen,64
""
Extension,Subset,Instruction,Description,Covergroup,Coverpoint,Coverpoint Description,Coverage Level,Pass/Fail Criteria,Test Type,Coverage Method
,,,,,cp_pmpcfg2_pmp11cfg_l,pmpcfg2 (CSR) field pmp11 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp12cfg_xwr,pmpcfg2 (CSR) field pmp12 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp12cfg_a,pmpcfg2 (CSR) field pmp12 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp12cfg_l,pmpcfg2 (CSR) field pmp12 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp13cfg_xwr,pmpcfg2 (CSR) field pmp13 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp13cfg_a,pmpcfg2 (CSR) field pmp13 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp13cfg_l,pmpcfg2 (CSR) field pmp13 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp14cfg_xwr,pmpcfg2 (CSR) field pmp14 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp14cfg_a,pmpcfg2 (CSR) field pmp14 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp14cfg_l,pmpcfg2 (CSR) field pmp14 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp15cfg_xwr,pmpcfg2 (CSR) field pmp15 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp15cfg_a,pmpcfg2 (CSR) field pmp15 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg2_pmp15cfg_l,pmpcfg2 (CSR) field pmp15 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
